State,Campaign name,Country,Status,Type,Targeting,Portfolio name,Campaign start date,Campaign end date,Campaign budget amount (converted),Campaign budget amount,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS
ENABLED,"Nature's Way Soil Enhanced Living Compost a with Fermented Duckweed Extract, 20% Worm Castings, 20%  | MANUAL | 2026-03-20",United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/20/2026,,$25.00,$25.00,3407,0,0,31,0.0091,$25.59,$25.59,$0.83,$0.83,3,$239.92,$239.92,0.1067,9.375537319265337
ENABLED,Pasture,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,02/24/2026,,$10.00,$10.00,488,18.91%,0.80,45,0.0922,$63.12,$63.12,$1.40,$1.40,3,$199.95,$199.95,0.3157,3.16777566539924
ENABLED,AD_READY: B0GSCVPS49,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/13/2026,,$25.00,$25.00,14621,<5%,0.42,26,0.0018,$91.62,$91.62,$3.52,$3.52,2,$59.98,$59.98,1.5275,0.6546605544640909
ENABLED,"Nature's Way Soil Liquid Humic & Fulvic Acid with Organic Kelp, Concentrate, Natural Soil Conditione | MANUAL | 2026-03-20",United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/20/2026,,$25.00,$25.00,664,0,0,12,0.0181,$10.39,$10.39,$0.87,$0.87,2,$59.98,$59.98,0.1732,5.772858517805581
ENABLED,lawn fertilizerC,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,02/28/2026,,$12.00,$12.00,3736,<5%,1.50,47,0.0126,$267.59,$267.59,$5.69,$5.69,1,$39.99,$39.99,6.6914,0.1494450465264023
ENABLED,liquid tomato,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/05/2026,,$12.00,$12.00,1220,<5%,0.50,19,0.0156,$41.88,$41.88,$2.20,$2.20,1,$29.99,$29.99,1.3965,0.7160936007640879
ENABLED,lawn fertilizer,United States,ACCOUNT_OUT_OF_BUDGET,SP,AUTOMATIC,,02/28/2026,,$8.00,$8.00,3552,<5%,0.90,16,0.0045,$21.56,$21.56,$1.35,$1.35,1,$29.99,$29.99,0.7189,1.3910018552875696
ENABLED,Campaign - 3/19/2026 11:05:00.976,United States,ACCOUNT_OUT_OF_BUDGET,SP,AUTOMATIC,,03/19/2026,,$30.00,$30.00,0,0,0.15,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0
ENABLED,Nature's Way Soil Liquid Bone Meal Fertilizer a 32 Ounce/1 Gallon Organic Phosphorus & Calcium for H | MANUAL | 2026-03-19,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/19/2026,,$25.00,$25.00,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0
ENABLED,Natureas Way Soil Spray Pattern Indicator | MANUAL | 2026-03-20,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/20/2026,,$25.00,$25.00,93,0,0,1,0.0108,$0.17,$0.17,$0.17,$0.17,0,$0.00,$0.00,0,0
ENABLED,lawn fertilizerA,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,02/28/2026,,$15.00,$15.00,4385,<5%,1.20,29,0.0066,$92.79,$92.79,$3.20,$3.20,0,$0.00,$0.00,0,0
ENABLED,"Natureas Way SoilA Orchid & African Violet Potting Mix a Premium Coco Coir, Worm Castings, Activated | MANUAL | 2026-03-19",United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/19/2026,,$25.00,$25.00,671,0,0,1,0.0015,$0.17,$0.17,$0.17,$0.17,0,$0.00,$0.00,0,0
ENABLED,"Natureas Way Soil Hay, Pasture & Lawn Fertilizer a 1 & 2.5 Gallon Organic Liquid Soil Conditioner fo | MANUAL | 2026-03-20",United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/20/2026,,$35.00,$35.00,584,0,0,7,0.0120,$5.90,$5.90,$0.84,$0.84,0,$0.00,$0.00,0,0
ENABLED,lawn fertilizerB,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,02/28/2026,,$12.00,$12.00,281,<5%,0,1,0.0036,$0.23,$0.23,$0.23,$0.23,0,$0.00,$0.00,0,0
ENABLED,AD_READY: B0GTBZ7N56,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/20/2026,,$20.00,$20.00,947,0,0,1,0.0011,$2.77,$2.77,$2.77,$2.77,0,$0.00,$0.00,0,0
ENABLED,Natureas Way Soil Dog Urine Neutralizer & Lawn Revitalizer a 32 oz/ 1 Gallon | Now with Enzymes/Pet- | MANUAL | 2026-03-19,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/19/2026,,$25.00,$25.00,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0
ENABLED,liquid fertilizerA,United States,ACCOUNT_OUT_OF_BUDGET,SP,MANUAL,,03/05/2026,,$12.00,$12.00,2022,<5%,0.50,16,0.0079,$16.34,$16.34,$1.02,$1.02,0,$0.00,$0.00,0,0
